id,body,score,created_utc,parent_id
jj5i9fw,I hate ESPN games so much,148,1683419171.0,t3_13a5us2
jj5xc19,Turning back the hands of time? Wiggins is 28.,45,1683426560.0,t3_13a5us2
jj60sdg,Poole being inserted into the garbage time lineup is hilarious. It's where he belongs,33,1683428322.0,t3_13a5us2
jj5xdvl,"Mark Jackson just said “Andrew Wiggins turning back the hands of time” 

He is 28 years old. Literally the prime of an adult males athleticism",107,1683426585.0,t3_13a5us2
jj608w3,Anthony Davis has erased the notion of going to the rim for the warriors. Guys playing incredible defense,36,1683428039.0,t3_13a5us2
jj6bae6,This team wins when AD plays HARD and Dlo gets 15+ points,34,1683434358.0,t3_13a5us2
jj5e9yn,Being a hater of both teams makes series like this really fun because I can play both sides and always come out on top,58,1683417164.0,t3_13a5us2
jj5pau3,"*Lebron shows up 5 hours early to shoot* 

*proceeds not to shoot*",101,1683422608.0,t3_13a5us2
jj5ozx0,LeBron took all his shots five hours ago,28,1683422470.0,t3_13a5us2
jj5spjd,Am I having a stroke or have I heard the phrase “take foul” 47 times in the last five minutes???,26,1683424269.0,t3_13a5us2
jj5ptl4,Late calls are a joke. Either it’s a foul or not,69,1683422857.0,t3_13a5us2
jj5w2s4,That looks like a charge lol,23,1683425918.0,t3_13a5us2
jj60641,"Road Warriors *and* AD's ""every other"" dominant game...bad combination",19,1683428001.0,t3_13a5us2
jj61qd4,It's really alarming Poole is playing in textbook GARBAGE garbage time and he looks like he belongs,26,1683428805.0,t3_13a5us2
jj62bnq,"I disagree with JVG, getting AD and Bron even a little extra rest is big.",20,1683429120.0,t3_13a5us2
jj62bqi,Holy shit JVG is fucking stupid,22,1683429121.0,t3_13a5us2
jj62gpi,Wow this is embarrassing for jvg,20,1683429195.0,t3_13a5us2
jj62har,someone shut JVG up,19,1683429203.0,t3_13a5us2
jj62knw,"JVG with the weirdest strawman argument on this, he hasn't said anything that makes sense",19,1683429252.0,t3_13a5us2
jj62omk,JVG my guy Lebron isn’t 24 or 26 or 28 or 32… this man is pushing 39 this year. A near 40 year old. Every moment the Lakers can give him rest it allows less strain on those legs. Bron has more mileage on those legs than any other player who has played this game. Man this guy is an idiot.,22,1683429310.0,t3_13a5us2
jj62wu4,"Kim K still on the sidelines watching garbage time, student of the game.",23,1683429431.0,t3_13a5us2
jj5t4nm,Can we get 15 seconds of basketball without a whistle? The gameflow is awful,55,1683424466.0,t3_13a5us2
jj5x837,Did he say Wiggins turning back the hands of time? He’s 28,20,1683426505.0,t3_13a5us2
jj5xbyt,Turning back the hands of time? Ain’t Wiggins like 27,20,1683426559.0,t3_13a5us2
jj5yy3u,"Schroder miss layup —> miss both FTs —> brick a 3

All in 20 seconds",19,1683427377.0,t3_13a5us2
jj60ftm,"1.	⁠Masked LeBron


2.	⁠Untucked Jersey Kyrie


3.	⁠Hoodie Melo


4.	⁠Odd Number Game AD",19,1683428139.0,t3_13a5us2
jj61rqz,I saw a #0 out there and thought Westbrook was back 😭,18,1683428826.0,t3_13a5us2
jj63dr4,But then again 23 from curry and 15 from Klay… if splash bros aren’t ballin out then warriors don’t have a chance.,20,1683429681.0,t3_13a5us2
jj5xasr,"Andrew Wiggins , 28 years old … turning back the hands of time?",19,1683426542.0,t3_13a5us2
jj5ytcw,How are there 10 year olds sitting courtside at a playoffs Lakers game? Tf did I do wrong in life?,18,1683427312.0,t3_13a5us2
jj61s86,Why the fuck is Steve Kerr calling timeouts and prolonging this fucking game?,17,1683428833.0,t3_13a5us2
jj62grn,JVG and Mark smoking are on crack for arguing this.,18,1683429196.0,t3_13a5us2
jj62yjh,Garbage time arguments: Breen makes a basic point and these mfs shout at him for the next 5 mins lmaooo,20,1683429456.0,t3_13a5us2
jj5nyq6,No one makes those 12 to 0 runs look as quick and easy as the Warriors,19,1683421969.0,t3_13a5us2
jj5xb6x,"""Andrew Wiggins turning back the hands of time""

Is 28 old now?",15,1683426548.0,t3_13a5us2
jj5xbsr,Did mark just say he turned back time ? Dudes 28 lol,15,1683426557.0,t3_13a5us2
jj5yv7r,Who are those girls and why are they sitting so close to lebron,18,1683427337.0,t3_13a5us2
jj607oz,It's literally which team decides to give a shit 4 times out of 7 lmao,16,1683428023.0,t3_13a5us2
jj620m8,Rich people are the worst fans lol,17,1683428954.0,t3_13a5us2
jj62dva,JVG arguing that getting Lebron more rest isn't necessary literally a clown,16,1683429153.0,t3_13a5us2
jj62vv8,How does JVG not realise that more rest = more recovery? So while no playing 38 minutes isn't necessarily way harder than playing 32 but another quarter of rest means they aren't risking an injury and they're able to rest not exacerbate any little niggles they might already have,17,1683429417.0,t3_13a5us2
jj5l29c,Ok so if you are hit in the head so badly that you have to lay there and get a review you also need to be put into the concussion protocol,58,1683420567.0,t3_13a5us2
jj5l586,"""*If this is a flagrant foul, it should be the end of all three of their seasons.*"" - Van Gundy",65,1683420601.0,t3_13a5us2
jj5t5gf,These refs are insane,16,1683424476.0,t3_13a5us2
jj5t851,Free throw Free Throw Free Throw Free Throw,16,1683424511.0,t3_13a5us2
jj5x7qc,[deleted],15,1683426500.0,t3_13a5us2
jj62kcu,JVG arguing that all years are the same. A 38 year-old should play the same minutes as an 18 year-old?,17,1683429247.0,t3_13a5us2
jj62lh8,"""I think more minutes will help him""

please fire this clown 

38 year old LBJ should not be playing garbage time minutes",16,1683429263.0,t3_13a5us2
jj62n7q,Is Van Gundy legitimately this stupid or is he just saying dumb shit to keep viewers engaged,16,1683429289.0,t3_13a5us2
jj62ny2,"Jeff Van Gundy seems so bitter, whining about Bron and other older players getting more rest by not having to play in the 4th quarter… complaining about every technical or flagrant foul, such an “old man yells at cloud” type energy",16,1683429300.0,t3_13a5us2
jj62ssy,HUGE CLUTCH BUCKET BY KUMINGA!! CUTS THE LEAD TO 30,14,1683429372.0,t3_13a5us2
jj62ynq,Warriors fan said “ 30 pIEcE” last game. Now that’s a 30 piece!!,16,1683429457.0,t3_13a5us2
