id,body,score,created_utc,parent_id
jjf5jcz,"Dawg I have to know, did GP2 shit himself on the court",97,1683599310.0,t3_13can6x
jjf74rj,"Everyone saying he was pooping: he definitely threw up and held it in his mouth

https://twitter.com/darrenhupke/status/1655761930248925185?s=46&t=s4Uj0CPo4g0PTiNrENm_aw",88,1683600051.0,t3_13can6x
jjf8rbr,Draymond gets a concussion and turns into Magic Johnson,69,1683600823.0,t3_13can6x
jjf8chh,LeBotomy,58,1683600628.0,t3_13can6x
jjf8p7d,Draymond's concussion gave him a new move wtf!?,49,1683600795.0,t3_13can6x
jjf8rba,"That's the slickest move Draymond has EVER done, at any level. The drip",41,1683600823.0,t3_13can6x
jjf8t6r,No way Draymond just made that dope ass play and SVG started glazing Curry instead lmao,48,1683600846.0,t3_13can6x
jjf3mak,Refs: don't let the game get going. You take over early and make it about you!,40,1683598431.0,t3_13can6x
jjf8pu3,fuck that concussion might have turned dray into a superhero,43,1683600803.0,t3_13can6x
jjfbln7,I think I am almost at the point where I completely understand why Draymond punched Jordan.,33,1683602225.0,t3_13can6x
jjfcf6c,"Kerr's adjustment in this game has been quite impressive. Tiny adjustments, but it worked well for GSW to play at their strength. It's the double screen at the top w/ baseline cut.

Kerr went back to the principle of basic 1-3-1 zonal attack. No matter what happens, someone must cut to the low post if a penetration is made, and Lakers are getting obliterated having to defend the 3, and the paint.

This is probably made to deter AD from pushing his drop coverage from the first pick and roll. GSW doesn't do mid-range. They only go into the paint, or shoot from 3pt, and man, quite a good chess game we have here.",29,1683602648.0,t3_13can6x
jjflk9k,Lololol TNT really put JPs 0 pt statline up there,30,1683607707.0,t3_13can6x
jjf3m9e,Foul foul foul. I guess it’s going to be one of those nights,25,1683598431.0,t3_13can6x
jjf8tjy,Dray banged his head so hard he thinks its game 7 of the 2016 finals,26,1683600851.0,t3_13can6x
jjfknuy,Name this game *The IVth quarter*,29,1683607176.0,t3_13can6x
jjfko1g,Love seeing Bron & AD go straight to Walker & give him his credit. He saved us tonight,26,1683607179.0,t3_13can6x
jjfkucj,"""Walker, 21, explained in an Instagram post Thursday that he decided to grow out his hair as an adolescent in an attempt to create what he called “a cloaking device” to shield the pain of suffering sexual abuse as a child.""

https://www.nba.com/news/spurs-lonnie-walker-iv-cuts-hair-reveals-childhood-sexual-abuse

Lonnie you no longer need a cloaking device, you have made great achievements and this performance alone will go down in history, you are a wonderful story and your success story is even greater! El Quatro the Skywalker!!!",26,1683607277.0,t3_13can6x
jjf3ku7,Wasn’t even a foul,22,1683598414.0,t3_13can6x
jjf3m3y,Awful call. Didn’t touch him.,21,1683598429.0,t3_13can6x
jjf3m6t,Stan stay calling out the refs lol,21,1683598430.0,t3_13can6x
jjf4x5n,Thanks TNT for showing Draymonds pass 3 times to the bench instead of what happened to GP2.,21,1683599026.0,t3_13can6x
jjf6yil,"https://twitter.com/darrenhupke/status/1655761930248925185?t=bzKcxLC__wMdeeE9ktCC5A&s=19

Apparently GP2 ran back to go vomit",24,1683599967.0,t3_13can6x
jjf8qp1,Concussion Draymond brain rewired,23,1683600815.0,t3_13can6x
jjf8tho,The concussion gave Dray handles 💀,21,1683600850.0,t3_13can6x
jjfa823,Clear foul on Davis they ignored on the Divincenzo layup,23,1683601537.0,t3_13can6x
jjfb882,I'm cool with Poole not making shots. It happens to everyone. But his decision making is disgusting.,20,1683602033.0,t3_13can6x
jjfch7s,"My dad died from ALS almost 19 years ago, and back then hardly anyone knew what it was. Love that Chuck is bringing attention to it.",22,1683602677.0,t3_13can6x
jjfic3x,I swear curry is the only player on the warriors,24,1683605862.0,t3_13can6x
jjfkklm,LeDad just adopted Lonnie Walker,19,1683607127.0,t3_13can6x
jjfksd0,Lonnie Walker Texas Ranger,22,1683607245.0,t3_13can6x
jjfktyv,Lonnie Lonnie Lonnie. Man's just earned himself an invite to taco Tuesday,19,1683607271.0,t3_13can6x
jjfkudi,I can’t believe there’s a chance we will see the 8th and 7th seed in the finals,23,1683607278.0,t3_13can6x
jjfl1aq,Draymond passing the ball to the lakers instead of giving his team a chance was rough stuff.,21,1683607387.0,t3_13can6x
jjfl555,"Lebron with the 4 clutch free throws in the final minutes when they say he’s afraid of the line in the 4th, AD with the defense, and LONNIE WALKER! Fun game. Nice to see Reaves coming back to life a little as well",23,1683607452.0,t3_13can6x
jjfl89x,There were long stretches of the game where I forgot Klay Thompson even existed.,20,1683607503.0,t3_13can6x
jjfmy3i,Lonnie Walker saved my life today 😭😭,21,1683608586.0,t3_13can6x
jjfn597,"lol, Poole",22,1683608715.0,t3_13can6x
jjfkopa,AD remembered it was game 4 at halftime,19,1683607189.0,t3_13can6x
jjfkgti,Both bubble finalists are up 3-1 right now.,18,1683607072.0,t3_13can6x
jjfkq10,Anyone else think Steph was gonna make that step back? Holy fuck man.,19,1683607209.0,t3_13can6x
jjf8t9b,CTE Draymond unlocked,17,1683600847.0,t3_13can6x
jjfklk3,"""*Tired as hell man, get out my face.*"" - LeBron",17,1683607141.0,t3_13can6x
jjfktdu,Gotta give it to Ham for putting Lonnie in knowing it's a risk on defense. But by the 4th everyone was gassed and Lonnie was confident in his jumper.,16,1683607262.0,t3_13can6x
jjfl3hu,Steph is the only warrior who’s consistent game after game. Can’t win shit when Poole scored 0 and Klay scored 9,17,1683607424.0,t3_13can6x
jjfl7nd,Warriors have a depth issue because of Poole being unable to play at all. Curry is the only playmaker that can get his own basket and poole needs to be the other guy but he’s been so bad,19,1683607492.0,t3_13can6x
jjflf2z,The dumbass Russ trade and the AD groin injury in the first round the last two years robbed us of 2 more years of playoff LeBron,16,1683607618.0,t3_13can6x
jjfktt9,"Curry played out of his mind for 47.5 minutes and then threw the game away, but mans wouldn't have been in that position if Poole, Klay, and Wiggins didn't mentally go to Cancun tonight.",34,1683607269.0,t3_13can6x
jjf6dtl,Steph triple teamed has a better shot than Poole wide open.,16,1683599704.0,t3_13can6x
jjf8cbf,"Brons just going for the ball, mid air collision",16,1683600625.0,t3_13can6x
jjf8t4l,Concussion unlocked his offensive skills,16,1683600846.0,t3_13can6x
jjf8xtv,lmaooo draymond hit his head so hard he downloaded some moves from the Matrix,16,1683600906.0,t3_13can6x
jjfc0iy,I think Poole's contract is easily in the top 10 worst NBA contracts,17,1683602440.0,t3_13can6x
jjfcgg8,How can you not love Charles Barkley man?,15,1683602666.0,t3_13can6x
jjfdz8y,Holy shit Curry is doing everything,15,1683603470.0,t3_13can6x
jjfe4s3,Curry wants another championship,17,1683603546.0,t3_13can6x
jjfidec,LeBron’s been looked refreshed ever since he came back in after his 13 second rest,15,1683605883.0,t3_13can6x
jjfkjbj,"Man, what a 4th by Lonnie. He was the best player in the 4th with Steph Bron AD Dray and Klay. Holy shit!!!!!!",15,1683607108.0,t3_13can6x
jjfkjxt,"Love my Lakers, but huge respect to Curry, what an absolutely fucking amazing game.",18,1683607117.0,t3_13can6x
jjfkkl1,just got our asses kicked by Lonnie Walker. damn dude. respect.,16,1683607126.0,t3_13can6x
